text,label
"Urgent! Verify your bank password immediately or your account will be suspended",1
"Your account has been suspended click here to restore access now",1
"Congratulations you won a lottery of 1000000 dollars claim now by clicking this link",1
"Reset your password immediately your account is at risk",1
"Your OTP is required for verification enter it here to avoid suspension",1
"ALERT Suspicious login detected verify your identity immediately",1
"Your PayPal account is limited please confirm your information now",1
"Win iPhone 15 Pro for free just click and enter your details",1
"Your credit card has been charged please verify immediately",1
"Dear customer your Netflix subscription expired renew now to avoid cancellation",1
"Your bank account will be closed unless you verify your details in 24 hours",1
"You have been selected for a government relief fund claim your money now",1
"Exclusive offer only for you click here to get 90 percent discount today only",1
"Security breach detected on your account login immediately to secure it",1
"Your Amazon order has a problem provide your card details to reship",1
"Click here immediately to claim your reward before it expires tonight",1
"Your email account will be deactivated verify now to keep your account",1
"Suspicious activity on your account confirm your password to continue",1
"You have unclaimed funds in your account click to withdraw now",1
"Final warning your subscription will cancel unless you update payment",1
"Dear user your account has been compromised change password immediately",1
"You are selected for KBC lucky draw claim prize by sharing details",1
"Your Aadhaar card is blocked update details immediately to unlock",1
"Bank alert unusual transaction detected verify your account now",1
"Congratulations your mobile number won 50000 rupees claim immediately",1
"Meeting scheduled for tomorrow morning at 10 AM in conference room B",0
"Please review the attached project report and provide your feedback",0
"Lunch meeting at 1 PM today at the office cafeteria",0
"Thank you for your support on the recent project delivery",0
"Your invoice number 12345 has been generated successfully",0
"Hi team please find the monthly status update attached",0
"The quarterly report is ready for review please check your email",0
"Reminder your team standup is at 9 AM tomorrow",0
"Congratulations on completing the certification course successfully",0
"Your leave application has been approved by HR department",0
"Please submit your timesheet by end of day Friday",0
"The new company policy document has been shared with you",0
"Your salary credit for this month has been processed",0
"Welcome to the team onboarding session is scheduled on Monday",0
"Project deadline has been extended to next Friday please plan accordingly",0
"The annual performance review will be held next week",0
"Please find the updated project timeline in the attachment",0
"Your travel reimbursement has been approved and will be processed",0
"Team outing is planned for Saturday please confirm your attendance",0
"Your training completion certificate has been issued",0
"The client presentation is scheduled for Thursday at 3 PM",0
"Please review the contract and share your comments by tomorrow",0
"Your medical insurance renewal is due next month please check details",0
"The office will be closed on account of national holiday",0
"Your badge access has been renewed for the new quarter",0
